bool rst, bool req1, bool req2, bool gnt1, bool gnt2
0,0,1,0,1
0,0,0,0,0
0,0,1,0,1
0,0,1,0,1
0,1,0,1,0
0,1,1,0,0
0,0,1,0,1
0,1,0,1,0
0,0,0,0,0
0,0,0,0,0
0,0,1,0,1
0,0,0,0,0
0,1,1,1,0
0,1,1,0,0
0,1,0,1,0
0,1,1,0,0
0,1,0,1,0
0,1,1,0,0
0,1,1,1,0
0,1,0,1,0
0,1,0,1,0
0,1,1,0,0
0,0,1,0,1
0,0,0,0,0
0,1,0,1,0
0,0,1,0,0
0,1,1,1,0
0,1,0,1,0
0,0,1,0,0
0,1,1,1,0
0,1,1,0,0
0,0,0,0,0
0,1,1,1,0
0,1,0,1,0
0,0,0,0,0
0,0,1,0,1
0,1,1,1,0
0,1,1,0,0
0,0,1,0,1
0,1,1,1,0
0,1,1,0,0
0,1,0,1,0
0,0,0,0,0
0,0,1,0,1
0,1,0,1,0
0,0,0,0,0
0,1,1,1,0
0,0,0,0,0
0,0,0,0,0
0,0,1,0,1
0,0,0,0,0
0,0,1,0,1
0,1,1,1,0
0,0,0,0,0
0,0,1,0,1
0,1,1,1,0
0,1,0,1,0
0,1,1,0,0
0,1,0,1,0
0,0,0,0,0
0,0,1,0,1
0,1,1,1,0
0,0,1,0,0
0,1,0,1,0
0,1,1,0,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,0,0,0,0
0,1,0,1,0
0,1,0,1,0
0,0,1,0,0
0,0,1,0,1
0,1,0,1,0
0,0,1,0,0
0,1,1,1,0
0,0,1,0,0
0,0,1,0,1
0,0,0,0,0
0,0,1,0,1
0,0,1,0,1
0,1,1,1,0
0,1,1,0,0
0,1,0,1,0
0,1,1,0,0
0,0,0,0,0
0,1,0,1,0
0,1,1,0,0
0,0,0,0,0
0,0,0,0,0
0,1,1,1,0
0,1,1,0,0
0,1,1,1,0
0,0,1,0,0
0,1,0,1,0
0,0,1,0,0
0,1,0,1,0
0,1,1,0,0
0,1,0,1,0
0,1,0,1,0
0,1,1,0,0
0,0,1,0,1
0,1,0,1,0
0,0,1,0,0
0,0,0,0,0
0,1,0,1,0
0,0,0,0,0
0,1,1,1,0
0,0,0,0,0
0,0,1,0,1
0,0,0,0,0
0,1,0,1,0
0,0,0,0,0
0,1,1,1,0
0,0,0,0,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,0,1,0,0
0,0,0,0,0
0,0,1,0,1
0,0,0,0,0
0,0,0,0,0
0,1,0,1,0
0,0,1,0,0
0,1,0,1,0
0,1,0,1,0
0,0,0,0,0
0,0,1,0,1
0,1,1,1,0
0,1,1,0,0
0,1,0,1,0
0,1,0,1,0
0,1,1,0,0
0,1,1,1,0
0,1,1,0,0
0,0,0,0,0
0,1,0,1,0
0,0,0,0,0
0,0,0,0,0
0,1,0,1,0
0,0,1,0,0
0,0,1,0,1
0,1,1,1,0
0,0,0,0,0
0,0,0,0,0
0,1,1,1,0
0,0,0,0,0
0,1,1,1,0
0,1,0,1,0
0,0,1,0,0
0,0,1,0,1
0,1,1,1,0
0,1,1,0,0
0,0,0,0,0
0,1,1,1,0
0,0,1,0,0
0,0,0,0,0
0,0,1,0,1
0,1,1,1,0
0,0,1,0,0
0,1,1,1,0
0,0,1,0,0
0,0,1,0,1
0,1,1,1,0
0,0,1,0,0
0,0,0,0,0
0,0,1,0,1
0,1,0,1,0
0,0,1,0,0
0,0,1,0,1
0,1,0,1,0
0,1,1,0,0
0,0,1,0,1
0,1,0,1,0
0,0,1,0,0
0,1,1,1,0
0,0,0,0,0
0,1,0,1,0
0,1,0,1,0
0,0,1,0,0
0,1,0,1,0
0,1,0,1,0
0,0,1,0,0
0,0,0,0,0
0,0,0,0,0
0,0,1,0,1
0,0,1,0,1
0,1,0,1,0
0,0,0,0,0
0,0,1,0,1
0,1,0,1,0
0,0,1,0,0
0,0,1,0,1
0,0,1,0,1
0,1,0,1,0
0,1,1,0,0
0,0,0,0,0
0,1,0,1,0
0,1,1,0,0
0,1,0,1,0
0,1,1,0,0
0,1,1,1,0
0,0,0,0,0
0,1,0,1,0
0,0,0,0,0
0,1,1,1,0
0,0,0,0,0
0,1,0,1,0
0,1,1,0,0
0,1,1,1,0
0,1,0,1,0
0,0,1,0,0
0,1,1,1,0
0,0,0,0,0
0,0,1,0,1
0,0,1,0,1
0,0,0,0,0
0,0,0,0,0
0,0,1,0,1
0,0,1,0,1
0,1,0,1,0
0,0,1,0,0
0,0,1,0,1
0,1,1,1,0
0,0,1,0,0
0,0,1,0,1
