int rst, int req1, int req2, int gnt1, int gnt2
0,0,0,0,0
0,1,0,1,0
0,1,1,1,0
0,1,0,1,0
0,0,1,0,1
0,0,0,0,0
0,0,0,0,0
0,0,1,0,1
0,0,0,0,0
0,0,0,0,0
0,0,1,0,1
0,0,0,0,0
0,0,0,0,0
0,0,1,0,1
0,1,0,1,0
0,0,1,0,1
0,1,1,1,0
0,1,0,1,0
0,1,0,1,0
0,0,1,0,1
0,1,1,1,0
0,1,0,1,0
0,1,1,1,0
0,1,0,1,0
0,0,1,0,1
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,1,0,1
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,0,0,0,0
0,1,1,1,0
0,0,0,0,0
0,0,1,0,1
0,0,1,0,1
0,1,0,1,0
0,1,1,1,0
0,1,1,1,0
0,1,0,1,0
0,1,1,1,0
0,0,1,0,1
0,1,0,1,0
0,1,0,1,0
0,0,0,0,0
0,0,0,0,0
0,0,1,0,1
0,0,1,0,1
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,1,1,1,0
0,0,1,0,1
0,0,0,0,0
0,0,1,0,1
0,0,0,0,0
0,0,0,0,0
0,1,1,1,0
0,1,0,1,0
0,0,1,0,1
0,0,0,0,0
0,1,1,1,0
0,1,0,1,0
0,0,1,0,1
0,0,0,0,0
0,1,0,1,0
0,1,1,1,0
0,1,1,1,0
0,0,1,0,1
0,1,0,1,0
0,0,1,0,1
0,0,0,0,0
0,0,0,0,0
0,0,1,0,1
0,0,0,0,0
0,0,1,0,1
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,1,0,1,0
0,1,1,1,0
0,1,0,1,0
0,0,0,0,0
0,1,0,1,0
0,0,1,0,1
0,0,0,0,0
0,0,1,0,1
0,1,0,1,0
0,1,1,1,0
0,1,1,1,0
0,1,0,1,0
0,0,1,0,1
0,0,0,0,0
0,1,0,1,0
0,1,1,1,0
0,0,0,0,0
0,0,1,0,1
0,0,0,0,0
0,0,1,0,1
0,0,0,0,0
0,0,0,0,0
0,0,1,0,1
0,1,1,1,0
0,1,0,1,0
0,0,1,0,1
0,0,1,0,1
0,1,0,1,0
0,1,1,1,0
0,1,0,1,0
0,1,0,1,0
0,1,1,1,0
0,0,1,0,1
0,1,0,1,0
0,1,1,1,0
0,1,1,1,0
0,1,0,1,0
0,0,1,0,1
0,1,1,1,0
0,1,0,1,0
0,0,1,0,1
0,1,0,1,0
0,1,0,1,0
0,0,0,0,0
0,1,1,1,0
0,0,0,0,0
0,1,0,1,0
0,0,1,0,1
0,1,1,1,0
0,1,1,1,0
0,0,1,0,1
0,0,1,0,1
0,1,0,1,0
0,0,0,0,0
0,0,1,0,1
0,0,0,0,0
0,1,0,1,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,1,0,1
0,0,0,0,0
0,1,0,1,0
0,1,0,1,0
0,1,1,1,0
0,1,1,1,0
0,0,0,0,0
0,0,1,0,1
0,0,0,0,0
0,0,1,0,1
0,0,1,0,1
0,1,0,1,0
0,1,1,1,0
0,0,1,0,1
0,1,0,1,0
0,0,0,0,0
0,0,0,0,0
0,0,1,0,1
0,0,0,0,0
0,1,1,1,0
0,1,1,1,0
0,1,0,1,0
0,1,1,1,0
0,1,0,1,0
0,1,1,1,0
0,1,1,1,0
0,1,0,1,0
0,1,0,1,0
0,1,1,1,0
0,0,1,0,1
0,0,0,0,0
0,1,0,1,0
0,0,1,0,1
0,1,1,1,0
0,1,0,1,0
0,0,1,0,1
0,1,1,1,0
0,1,1,1,0
0,0,0,0,0
0,1,1,1,0
0,1,0,1,0
0,0,0,0,0
0,0,1,0,1
0,1,1,1,0
0,1,1,1,0
0,0,1,0,1
0,1,1,1,0
0,1,1,1,0
0,1,0,1,0
0,0,0,0,0
0,0,1,0,1
0,1,0,1,0
0,0,0,0,0
0,1,1,1,0
0,0,0,0,0
0,0,0,0,0
0,0,1,0,1
0,0,0,0,0
0,0,1,0,1
0,1,1,1,0
0,0,0,0,0
0,0,1,0,1
0,1,1,1,0
0,1,0,1,0
0,1,1,1,0
0,1,0,1,0
0,0,0,0,0
0,0,1,0,1
0,1,1,1,0
0,0,1,0,1
0,1,0,1,0
0,1,1,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,0,0,0,0
0,1,0,1,0
0,1,0,1,0
0,0,1,0,1
0,0,1,0,1
0,1,0,1,0
0,0,1,0,1
0,1,1,1,0
0,0,1,0,1
0,0,1,0,1
0,0,0,0,0
0,0,1,0,1
0,0,1,0,1
0,1,1,1,0
0,1,1,1,0
0,1,0,1,0
0,1,1,1,0
0,0,0,0,0
0,1,0,1,0
0,1,1,1,0
0,0,0,0,0
0,0,0,0,0
0,1,1,1,0
0,1,1,1,0
0,1,1,1,0
0,0,1,0,1
0,1,0,1,0
0,0,1,0,1
0,1,0,1,0
0,1,1,1,0
0,1,0,1,0
0,1,0,1,0
0,1,1,1,0
0,0,1,0,1
0,1,0,1,0
0,0,1,0,1
0,0,0,0,0
0,1,0,1,0
0,0,0,0,0
0,1,1,1,0
0,0,0,0,0
0,0,1,0,1
0,0,0,0,0
0,1,0,1,0
0,0,0,0,0
0,1,1,1,0
0,0,0,0,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,0,1,0,1
0,0,0,0,0
0,0,1,0,1
0,0,0,0,0
0,0,0,0,0
0,1,0,1,0
0,0,1,0,1
0,1,0,1,0
0,1,0,1,0
0,0,0,0,0
0,0,1,0,1
0,1,1,1,0
0,1,1,1,0
0,1,0,1,0
0,1,0,1,0
0,1,1,1,0
0,1,1,1,0
0,1,1,1,0
0,0,0,0,0
0,1,0,1,0
0,0,0,0,0
0,0,0,0,0
0,1,0,1,0
0,0,1,0,1
0,0,1,0,1
0,1,1,1,0
0,0,0,0,0
0,0,0,0,0
0,1,1,1,0
0,0,0,0,0
0,1,1,1,0
0,1,0,1,0
0,0,1,0,1
0,0,1,0,1
0,1,1,1,0
0,1,1,1,0
0,0,0,0,0
0,1,1,1,0
0,0,1,0,1
0,0,0,0,0
0,0,1,0,1
0,1,1,1,0
0,0,1,0,1
0,1,1,1,0
0,0,1,0,1
0,0,1,0,1
0,1,1,1,0
0,0,1,0,1
0,0,0,0,0
0,0,1,0,1
0,1,0,1,0
0,0,1,0,1
0,0,1,0,1
0,1,0,1,0
0,1,1,1,0
0,0,1,0,1
0,1,0,1,0
0,0,1,0,1
0,1,1,1,0
0,0,0,0,0
0,1,0,1,0
0,1,0,1,0
0,0,1,0,1
0,1,0,1,0
0,1,0,1,0
0,0,1,0,1
0,0,0,0,0
0,0,0,0,0
0,0,1,0,1
0,0,1,0,1
0,1,0,1,0
0,0,0,0,0
0,0,1,0,1
0,1,0,1,0
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,1,0,1,0
0,1,1,1,0
0,0,0,0,0
0,1,0,1,0
0,1,1,1,0
0,1,0,1,0
0,1,1,1,0
0,1,1,1,0
0,0,0,0,0
0,1,0,1,0
0,0,0,0,0
0,1,1,1,0
0,0,0,0,0
0,1,0,1,0
0,1,1,1,0
0,1,1,1,0
0,1,0,1,0
0,0,1,0,1
0,1,1,1,0
0,0,0,0,0
0,0,1,0,1
0,0,1,0,1
0,0,0,0,0
0,0,0,0,0
0,0,1,0,1
0,0,1,0,1
0,1,0,1,0
0,0,1,0,1
0,0,1,0,1
0,1,1,1,0
0,0,1,0,1
0,0,1,0,1
